
0,537.43,0.559,294.952,0,1122.88,0,0,0
0.01,538.77,0.559,295.843,2.95,1122.88,0.003,2,0.01
0.02,540.12,0.559,296.807,5.92,1122.88,0.005,4,0.06
0.03,541.46,0.56,297.772,8.89,1122.88,0.008,6.1,0.13
0.04,542.8,0.558,298.737,11.87,1122.88,0.011,8.1,0.24
0.05,544.14,0.559,299.702,14.86,1122.88,0.013,10.1,0.37
0.06,545.49,0.559,300.667,17.87,1122.88,0.016,12.2,0.53
0.07,546.83,0.56,301.632,20.88,1122.88,0.019,14.2,0.73
0.08,548.17,0.56,302.597,23.9,1122.88,0.021,16.3,0.95
0.09,549.52,0.56,303.562,26.93,1122.88,0.024,18.4,1.21
0.1,550.86,0.56,304.528,29.97,1122.88,0.027,20.4,1.49
0.11,552.31,0.56,305.561,33.02,1122.88,0.029,22.5,1.81
0.12,553.77,0.557,306.596,36.08,1122.88,0.032,24.6,2.15
0.13,555.22,0.552,307.63,39.15,1122.88,0.035,26.7,2.53
0.14,556.68,0.548,308.665,42.23,1122.87,0.038,28.8,2.93
0.15,558.13,0.544,309.701,45.33,1122.87,0.04,30.9,3.37
0.16,559.59,0.544,310.736,48.43,1122.87,0.043,33,3.84
0.17,561.04,0.544,311.771,51.54,1122.87,0.046,35.1,4.34
0.18,562.5,0.544,312.806,54.66,1122.87,0.049,37.3,4.87
0.19,563.95,0.544,313.841,57.8,1122.87,0.051,39.4,5.43
0.2,565.36,0.544,314.851,60.94,1122.86,0.054,41.6,6.03
0.21,566.78,0.544,315.861,64.09,1122.86,0.057,43.7,6.65
0.22,568.19,0.544,316.872,67.26,1122.86,0.06,45.9,7.31
0.23,569.6,0.544,317.882,70.43,1122.86,0.063,48,8
0.24,571.02,0.544,318.892,73.62,1122.85,0.066,50.2,8.72
0.25,572.43,0.544,319.903,76.81,1122.85,0.068,52.4,9.47
0.26,573.84,0.546,320.912,80.01,1122.85,0.071,54.6,10.25
0.27,575.26,0.551,321.919,83.23,1122.84,0.074,56.7,11.07
0.28,576.67,0.555,322.925,86.45,1122.84,0.077,58.9,11.92
0.29,578.04,0.56,323.904,89.69,1122.84,0.08,61.1,12.8
0.3,579.41,0.562,324.885,92.93,1122.83,0.083,63.4,13.71
0.31,580.78,0.565,325.864,96.18,1122.83,0.086,65.6,14.66
0.32,582.15,0.568,326.844,99.45,1122.83,0.089,67.8,15.64
0.33,583.52,0.565,327.829,102.72,1122.82,0.091,70,16.65
0.34,584.89,0.558,328.82,106,1122.82,0.094,72.3,17.69
0.35,586.26,0.551,329.813,109.3,1122.82,0.097,74.5,18.77
0.36,587.63,0.544,330.805,112.6,1122.81,0.1,76.8,19.88
0.37,589,0.549,331.782,115.91,1122.81,0.103,79,21.02
0.38,590.32,0.553,332.728,119.24,1122.8,0.106,81.3,22.2
0.39,591.64,0.557,333.673,122.57,1122.8,0.109,83.6,23.4
0.4,592.96,0.559,334.622,125.91,1122.79,0.112,85.8,24.65
0.41,594.28,0.56,335.571,129.26,1122.79,0.115,88.1,25.92
0.42,595.61,0.56,336.521,132.62,1122.78,0.118,90.4,27.23
0.43,596.93,0.552,337.49,135.99,1122.78,0.121,92.7,28.57
0.44,598.25,0.527,338.496,139.37,1122.77,0.124,95,29.95
0.45,599.57,0.502,339.509,142.76,1122.77,0.127,97.3,31.36
0.46,600.89,0.478,340.523,146.16,1122.76,0.13,99.7,32.81
0.47,602.16,0.478,341.45,149.57,1122.76,0.133,102,34.29
0.48,603.43,0.479,342.377,152.99,1122.75,0.136,104.3,35.8
0.49,604.7,0.479,343.305,156.42,1122.75,0.139,106.6,37.35
0.5,605.97,0.479,344.232,159.85,1122.74,0.142,109,38.93
0.51,607.25,0.48,345.158,163.3,1122.73,0.145,111.3,40.54
0.52,608.52,0.48,346.085,166.76,1122.73,0.149,113.7,42.19
0.53,609.79,0.48,347.012,170.22,1122.72,0.152,116.1,43.88
0.54,611.06,0.48,347.94,173.7,1122.72,0.155,118.4,45.6
0.55,612.33,0.48,348.867,177.18,1122.71,0.158,120.8,47.35
0.56,613.55,0.48,349.76,180.68,1122.7,0.161,123.2,49.14
0.57,614.76,0.48,350.653,184.18,1122.69,0.164,125.6,50.97
0.58,615.98,0.48,351.546,187.69,1122.69,0.167,128,52.82
0.59,617.2,0.48,352.439,191.21,1122.68,0.17,130.4,54.72
0.6,618.41,0.48,353.331,194.74,1122.67,0.173,132.8,56.65
0.61,619.63,0.48,354.223,198.27,1122.67,0.177,135.2,58.61
0.62,620.85,0.48,355.115,201.82,1122.66,0.18,137.6,60.61
0.63,622.06,0.48,356.007,205.38,1122.65,0.183,140,62.65
0.64,623.28,0.48,356.899,208.94,1122.64,0.186,142.5,64.72
0.65,624.44,0.48,357.754,212.51,1122.63,0.189,144.9,66.83
0.66,625.6,0.48,358.608,216.1,1122.63,0.192,147.3,68.97
0.67,626.76,0.48,359.463,219.69,1122.62,0.196,149.8,71.15
0.68,627.92,0.48,360.317,223.29,1122.61,0.199,152.2,73.37
0.69,629.07,0.48,361.172,226.89,1122.6,0.202,154.7,75.62
0.7,630.23,0.479,362.028,230.51,1122.59,0.205,157.2,77.9
0.71,631.39,0.479,362.883,234.13,1122.58,0.209,159.6,80.23
0.72,632.55,0.479,363.737,237.77,1122.57,0.212,162.1,82.59
0.73,633.71,0.479,364.59,241.41,1122.57,0.215,164.6,84.98
0.74,634.81,0.479,365.405,245.06,1122.56,0.218,167.1,87.41
0.75,635.91,0.479,366.22,248.72,1122.55,0.222,169.6,89.88
0.76,637.01,0.479,367.034,252.38,1122.54,0.225,172.1,92.39
0.77,638.11,0.479,367.848,256.06,1122.53,0.228,174.6,94.93
0.78,639.21,0.479,368.663,259.74,1122.52,0.231,177.1,97.51
0.79,640.31,0.479,369.479,263.43,1122.51,0.235,179.6,100.13
0.8,641.41,0.478,370.294,267.13,1122.5,0.238,182.1,102.78
0.81,642.51,0.478,371.11,270.84,1122.49,0.241,184.7,105.47
0.82,643.61,0.478,371.925,274.55,1122.48,0.245,187.2,108.2
0.83,644.65,0.477,372.699,278.27,1122.47,0.248,189.7,110.96
0.84,645.68,0.477,373.472,282.01,1122.46,0.251,192.3,113.76
0.85,646.72,0.477,374.243,285.74,1122.45,0.255,194.8,116.6
0.86,647.76,0.477,375.013,289.49,1122.43,0.258,197.4,119.48
0.87,648.79,0.477,375.784,293.24,1122.42,0.261,199.9,122.39
0.88,649.83,0.477,376.556,297.01,1122.41,0.265,202.5,125.34
