#Rocket
#t,x,y
0.000000000E0,3.945412652E-3,-5.795981157E-3
1.666666667E-3,4.732649508E-3,-5.991344244E-3
3.333333333E-3,5.119335980E-3,-5.554040364E-3
5.000000000E-3,4.954511566E-3,-4.986773169E-3
6.666666667E-3,4.629239603E-3,-3.665395155E-3
8.333333333E-3,4.585829889E-3,-2.471760601E-3
1.000000000E-2,4.178442906E-3,8.626112039E-4
1.166666667E-2,3.650046423E-3,2.708393112E-3
1.333333333E-2,3.308852218E-3,5.179193374E-3
1.500000000E-2,2.523152504E-3,8.639414955E-3
1.666666667E-2,3.037965050E-3,1.044257535E-2
1.833333333E-2,3.405203222E-3,1.728858874E-2
2.000000000E-2,2.774178980E-3,2.922187687E-2
2.166666667E-2,2.096348972E-3,3.547843655E-2
2.333333333E-2,2.024699817E-3,4.381292718E-2
2.500000000E-2,2.216017992E-3,4.534411909E-2
2.666666667E-2,2.595759016E-3,4.738580033E-2
2.833333333E-2,3.870895667E-3,5.150328476E-2
3.000000000E-2,4.098857272E-3,5.383879315E-2
3.166666667E-2,4.481202032E-3,5.832770267E-2
3.333333333E-2,4.047611718E-3,6.604071401E-2
3.500000000E-2,4.255449130E-3,8.103592309E-2
3.666666667E-2,3.734086713E-3,9.530208348E-2
3.833333333E-2,3.133780327E-3,9.829396610E-2
4.000000000E-2,3.456087776E-3,1.001433255E-1
4.166666667E-2,2.416737004E-3,1.029485318E-1
4.333333333E-2,2.262832812E-3,1.061095761E-1
4.500000000E-2,1.303620465E-3,1.150342601E-1
4.666666667E-2,1.600408688E-3,1.279486674E-1
4.833333333E-2,3.529086400E-3,1.400704063E-1
5.000000000E-2,3.729799757E-3,1.477805008E-1
5.166666667E-2,3.126653398E-3,1.550611350E-1
5.333333333E-2,4.387979041E-3,1.598284749E-1
5.500000000E-2,4.831320955E-3,1.658720864E-1
5.666666667E-2,4.400865726E-3,1.790058474E-1
5.833333333E-2,3.700036416E-3,1.953773573E-1
6.000000000E-2,3.313795107E-3,2.048631527E-1
6.166666667E-2,4.029295187E-3,2.112679141E-1
6.333333333E-2,6.065383132E-3,2.148579213E-1
6.500000000E-2,6.595993845E-3,2.184340538E-1
6.666666667E-2,7.896608143E-3,2.271166568E-1
6.833333333E-2,8.026823812E-3,2.451723727E-1
7.000000000E-2,5.859261678E-3,2.608856560E-1
7.166666667E-2,5.830978634E-3,2.696263792E-1
7.333333333E-2,5.680152115E-3,2.866436545E-1
7.500000000E-2,5.161885958E-3,3.061577706E-1
7.666666667E-2,2.093461301E-3,3.161092154E-1
7.833333333E-2,2.059517389E-3,3.223779549E-1
8.000000000E-2,2.934503960E-3,3.265651605E-1
8.166666667E-2,3.713472084E-3,3.564920024E-1
8.333333333E-2,3.292272683E-3,3.669638871E-1
8.500000000E-2,2.799840818E-3,3.739912570E-1
8.666666667E-2,2.913560025E-3,3.927753793E-1
8.833333333E-2,9.797477986E-4,4.160354291E-1
9.000000000E-2,-2.110841114E-4,4.276171171E-1
9.166666667E-2,2.802124134E-4,4.337980749E-1
9.333333333E-2,8.866109938E-4,4.557665783E-1
9.500000000E-2,-2.967455427E-4,4.762053768E-1
9.666666667E-2,-1.855439396E-3,4.899633275E-1
9.833333333E-2,-6.842534173E-4,5.096627626E-1
1.000000000E-1,-3.319322794E-3,5.279742099E-1
1.016666667E-1,-3.161219185E-3,5.446762768E-1
1.033333333E-1,-1.948125172E-3,5.716283173E-1
1.050000000E-1,-3.914957872E-3,5.842571593E-1
1.066666667E-1,-5.537687993E-3,5.933452560E-1
1.083333333E-1,-3.912909611E-3,6.160871735E-1
1.100000000E-1,-6.420451960E-3,6.366673040E-1
1.116666667E-1,-6.645544414E-3,6.479478469E-1
1.133333333E-1,-5.407966004E-3,6.755594488E-1
1.150000000E-1,-7.120334879E-3,6.921464933E-1
1.166666667E-1,-7.431994965E-3,7.070462970E-1
1.183333333E-1,-1.015246715E-2,7.420943302E-1
1.200000000E-1,-9.815389695E-3,7.520997752E-1
1.216666667E-1,-1.077061307E-2,7.809670276E-1
1.233333333E-1,-1.148154877E-2,7.978040105E-1
1.250000000E-1,-1.174356903E-2,8.084248859E-1
1.266666667E-1,-1.108877151E-2,8.448218678E-1
